1204    [4.3, 45]
1276    [4.27, 57]
750     [4.27, 97]
904     [4.26, 84]
1267    [4.25, 30]
912     [4.24, 100]
3275    [4.22, 43]
1233    [4.21, 40]
1252    [4.21, 59]
2019    [4.19, 48]
1228    [4.19, 40]
1225    [4.18, 76]
908     [4.18, 57]
1199    [4.18, 59]
2160    [4.17, 32]
1242    [4.17, 41]
913     [4.17, 44]
1172    [4.16, 34]
57669   [4.16, 41]
4011    [4.16, 93]
5618    [4.16, 87]
3681    [4.15, 33]
1203    [4.15, 57]
2324    [4.15, 88]
6016    [4.15, 75]
1201    [4.15, 72]
68157   [4.14, 88]
1262    [4.13, 43]
1250    [4.12, 45]
1272    [4.12, 33]
1207    [4.12, 58]
44555   [4.12, 34]
1266    [4.11, 45]
78499   [4.11, 55]
5995    [4.11, 46]
92259   [4.11, 37]
1244    [4.11, 33]
2502    [4.09, 94]
27773   [4.09, 39]
1673    [4.08, 39]
31658   [4.08, 40]
899     [4.07, 47]
1084    [4.07, 35]
1249    [4.07, 35]
38061   [4.07, 35]
1247    [4.06, 79]
1617    [4.06, 97]
69481   [4.06, 34]
2542    [4.05, 67]
2761    [4.05, 39]
112852  [4.05, 59]
1261    [4.04, 34]
923     [4.04, 69]
81845   [4.04, 58]
914     [4.04, 35]
112552  [4.04, 38]
1215    [4.04, 51]
3703    [4.04, 40]
1219    [4.04, 83]
1148    [4.04, 56]
953     [4.03, 58]
6711    [4.03, 74]
44195   [4.03, 36]
58      [4.03, 37]
903     [4.03, 60]
74458   [4.02, 67]
116797  [4.02, 50]
1288    [4.02, 66]
29      [4.01, 38]
910     [4.01, 50]
8874    [4.01, 77]
48780   [4.01, 90]
1259    [4.01, 91]
1387    [4.01, 91]
2692    [4.0, 75]
51255   [4.0, 61]
134130  [4.0, 48]
